,"Przewozy pasażerskie/ Passenger transport
Udział przewoźników wg liczby pasażerów/ Share of RUs in terms of number of passengers",,
,,,
,,,
,,,
rok/ year,miesiąc/ month,Przewoźnicy/ Railway carriers,udział wg liczby pasażerów/ share by number of passengers
2012, styczeń-październik/ January-October,Pozostali/ Others,0.20%
2012, styczeń-listopad/ January-November,Polregio,37.19%
2012, styczeń-listopad/ January-November,Koleje Mazowieckie - KM,21.45%
2012, styczeń-listopad/ January-November,PKP Szybka Kolej Miejska w Trójmieście,13.51%
2012, styczeń-listopad/ January-November,PKP Intercity,12.88%
2012, styczeń-listopad/ January-November,Szybka Kolej Miejska - Warszawa,6.23%
2012, styczeń-listopad/ January-November,Koleje Śląskie,3.16%
2012, styczeń-listopad/ January-November,Warszawska Kolej Dojazdowa,2.57%
2012, styczeń-listopad/ January-November,Koleje Wielkopolskie,1.23%
2012, styczeń-listopad/ January-November,Arriva RP,0.91%
2012, styczeń-listopad/ January-November,Koleje Dolnośląskie,0.67%
2012, styczeń-listopad/ January-November,Pozostali/ Others,0.20%
2012, styczeń-grudzień/ January-December,Polregio,36.88%
2012, styczeń-grudzień/ January-December,Koleje Mazowieckie - KM,21.58%
2012, styczeń-grudzień/ January-December,PKP Szybka Kolej Miejska w Trójmieście,13.44%
2012, styczeń-grudzień/ January-December,PKP Intercity,12.87%
2012, styczeń-grudzień/ January-December,Szybka Kolej Miejska - Warszawa,6.30%
2012, styczeń-grudzień/ January-December,Koleje Śląskie,3.34%
2012, styczeń-grudzień/ January-December,Warszawska Kolej Dojazdowa,2.59%
2012, styczeń-grudzień/ January-December,Koleje Wielkopolskie,1.22%
2012, styczeń-grudzień/ January-December,Arriva RP,0.91%
2012, styczeń-grudzień/ January-December,Koleje Dolnośląskie,0.67%
2012, styczeń-grudzień/ January-December,Pozostali/ Others,0.19%
2013, styczeń/ January,Polregio,32.88%
2013, styczeń/ January,Koleje Mazowieckie - KM,23.22%
2013, styczeń/ January,PKP Szybka Kolej Miejska w Trójmieście,12.84%
2013, styczeń/ January,PKP Intercity,11.20%
2013, styczeń/ January,Szybka Kolej Miejska - Warszawa,6.91%
2013, styczeń/ January,Koleje Śląskie,6.69%
2013, styczeń/ January,Warszawska Kolej Dojazdowa,2.60%
2013, styczeń/ January,Koleje Wielkopolskie,1.98%
2013, styczeń/ January,Arriva RP,0.92%
2013, styczeń/ January,Koleje Dolnośląskie,0.64%
2013, styczeń/ January,Pozostali/ Others,0.12%
2013, styczeń-luty/ January-February,Polregio,32.73%
2013, styczeń-luty/ January-February,Koleje Mazowieckie - KM,23.32%
2013, styczeń-luty/ January-February,PKP Szybka Kolej Miejska w Trójmieście,13.07%
2013, styczeń-luty/ January-February,PKP Intercity,11.29%
2013, styczeń-luty/ January-February,Koleje Śląskie,6.72%
2013, styczeń-luty/ January-February,Szybka Kolej Miejska - Warszawa,6.58%
2013, styczeń-luty/ January-February,Warszawska Kolej Dojazdowa,2.67%
2013, styczeń-luty/ January-February,Koleje Wielkopolskie,1.95%
2013, styczeń-luty/ January-February,Arriva RP,0.91%
2013, styczeń-luty/ January-February,Koleje Dolnośląskie,0.63%
2013, styczeń-luty/ January-February,Pozostali/ Others,0.12%
2013, styczeń-marzec/ January-March,Polregio,32.92%
2013, styczeń-marzec/ January-March,Koleje Mazowieckie - KM,23.35%
2013, styczeń-marzec/ January-March,PKP Szybka Kolej Miejska w Trójmieście,12.94%
2013, styczeń-marzec/ January-March,PKP Intercity,11.29%
2013, styczeń-marzec/ January-March,Koleje Śląskie,6.71%
2013, styczeń-marzec/ January-March,Szybka Kolej Miejska - Warszawa,6.62%
2013, styczeń-marzec/ January-March,Warszawska Kolej Dojazdowa,2.56%
2013, styczeń-marzec/ January-March,Koleje Wielkopolskie,1.92%
2013, styczeń-marzec/ January-March,Arriva RP,0.92%
2013, styczeń-marzec/ January-March,Koleje Dolnośląskie,0.64%
2013, styczeń-marzec/ January-March,Pozostali/ Others,0.14%
2013, styczeń-kwiecień/ January-April,Polregio,32.89%
2013, styczeń-kwiecień/ January-April,Koleje Mazowieckie - KM,23.35%
2013, styczeń-kwiecień/ January-April,PKP Szybka Kolej Miejska w Trójmieście,12.97%
2013, styczeń-kwiecień/ January-April,PKP Intercity,11.16%
2013, styczeń-kwiecień/ January-April,Koleje Śląskie,6.71%
2013, styczeń-kwiecień/ January-April,Szybka Kolej Miejska - Warszawa,6.69%
2013, styczeń-kwiecień/ January-April,Warszawska Kolej Dojazdowa,2.56%
2013, styczeń-kwiecień/ January-April,Koleje Wielkopolskie,1.95%
2013, styczeń-kwiecień/ January-April,Arriva RP,0.92%
2013, styczeń-kwiecień/ January-April,Koleje Dolnośląskie,0.66%
2013, styczeń-kwiecień/ January-April,Pozostali/ Others,0.14%
2013, styczeń-maj/ January-May,Polregio,32.85%
2013, styczeń-maj/ January-May,Koleje Mazowieckie - KM,23.23%
2013, styczeń-maj/ January-May,PKP Szybka Kolej Miejska w Trójmieście,13.03%
2013, styczeń-maj/ January-May,PKP Intercity,11.23%
2013, styczeń-maj/ January-May,Koleje Śląskie,6.73%
2013, styczeń-maj/ January-May,Szybka Kolej Miejska - Warszawa,6.64%
