x,y,clusterId,clusterCount,extent_xmin,extent_ymin,extent_xmax,extent_ymax
600795.5878777358,523170.50697132084,183,1325,579045.3207999999,508135.4349000007,614915.3531,545491.8673999999
667952.1164215595,588042.9880009564,184,1359,645390.8062000005,572610.7034000009,684120.7282999996,606362.4079
528870.8189264067,304716.12391838717,185,2257,506326.59329999983,283293.1941999998,547607.7533,324295.90850000083
478503.07296843786,411241.86868310865,186,1261,456459.6710000001,389007.9805999994,504041.04009999987,437690.29429999925
527185.0978068246,599579.8451072299,187,1480,507815.8987999996,581370.7031999994,546565.0283000004,620609.5019000005
575275.9391136899,219261.59896623206,188,767,565088.5444999998,215679.43500000052,589432.6410999997,223991.19459999911
263743.84766588314,491403.4919125356,189,1404,239142.71530000027,478426.9299999997,282457.4167999998,506628.93850000016
392242.6222564932,312107.0871325641,190,1517,364149.801,291706.9363000002,411431.67640000023,329625.69409999996
532188.1783549396,406313.55917879514,191,830,520205.42640000023,395151.0911999997,540393.9122000001,418208.6481999997
382524.0888539787,547773.4354063659,192,1508,355939.76669999957,527785.7434,404718.7092000004,579601.7614999991
699310.2838464263,546221.7316713076,193,1889,680058.8317999998,529430.9071999993,721428.5029999996,563214.5247000009
349185.00322294835,656720.1434276593,194,1316,322711.94849999994,637229.6050000004,364945.27240000013,676690.5196000002
479642.4001691369,693947.5146081955,195,1147,460082.0538999997,680031.6870000008,487933.2594999997,705149.5495999996
659790.5909460754,417200.1462240506,196,395,653961.1358000003,410468.57799999975,666802.5187999997,425168.4168999996
345995.0482479267,722433.6474431705,197,820,325370.57940000016,694950.4699000008,367748.4020999996,745300.5877
244308.54738622223,584860.245286667,198,1125,223182.82330000028,563730.6530000009,274641.8383999998,602139.7425999995
704406.2638978264,456885.15149732435,199,598,697101.6656,440084.46079999954,714769.3669999996,464571.16410000063
778274.9150714884,388770.5154351629,200,2150,763782.5193999996,367994.5878999997,800755.2724000001,412283.47199999914
430274.8443059404,361676.3691359264,201,707,416302.45529999956,343583.10050000064,438761.5275999997,374395.3878000006
494971.0218250774,597840.0188653249,202,969,480685.3256000001,575358.5640999991,513642.4824999999,613173.1282000002
431526.56930949603,475024.35570629867,203,1032,408300.1163999997,458060.12319999933,445761.33299999963,482143.32650000043
305844.65292337444,352832.3325532513,204,569,293455.49480000045,340740.8535999991,318644.22200000007,357284.57579999976
717863.8079925722,669904.5217771744,205,552,700892.6255999999,663961.5594999995,741381.8305000002,691966.2063999996
402359.6873578249,499272.57078262605,206,754,390947.71449999977,488934.29429999925,411108.56269999966,512792.4180999994
761451.8004846819,667813.347261127,207,692,745478.1178000001,643023.3705000002,780610.6213999996,680199.1118000001
230656.50937990658,428776.0525221628,208,1498,216483.55730000045,398995.16339999996,247272.72140000015,445325.9144000001
578835.5303307531,353488.0960702926,209,478,570149.0016999999,346988.9313999992,585344.7121000001,370944.8325999994
446513.2046704136,548298.0135931722,210,1450,432775.8842000002,521374.5089999996,458243.7308,568393.3049999997
616825.091148813,706539.1780099071,211,969,588662.4725000001,685078.1914000008,639428.3613,719934.4647000004
542709.4569880731,323842.5654911929,212,1090,531409.0004000003,304754.37150000036,556254.9594,336072.1009999998
357234.6330311417,424309.05864053447,213,1384,337653.8287000004,411305.409,376409.7399000004,440526.8797999993
790057.7938580001,352320.09021626663,214,750,775255.3991999999,338964.3543999996,814033.5870000003,365734.6060000006
343843.74264734535,442013.20534435863,215,904,335148.3903999999,428764.7611999996,357864.87590000033,457238.7078000009
685253.6017771724,206245.71105339658,216,2002,669431.7368000001,175984.66630000062,700495.9204000002,220962.81210000068
461920.46040369826,584390.4097226331,217,676,445909.89080000017,573558.9781999998,469885.31769999955,599179.0492000002
345664.74429649266,300093.8515765611,218,1169,330426.8792000003,286160.6743000001,362914.6964999996,315455.66980000027
436322.7881929002,631097.5731750902,219,831,416264.90299999993,614624.3786999993,461594.6046000002,646267.0392000005
346357.46499035694,537204.2079421428,220,840,327469.34640000015,522888.8205999993,361666.30599999987,559483.5322999991
565912.8102360776,649273.0566989522,221,668,548529.5635000002,625810.7302000001,582396.2978999997,667715.2489
565487.3468854056,591416.5133155213,222,1295,543158.2465000004,573158.6059000008,592979.6524,621298.8548000008
515857.4280194742,388104.872088997,223,1027,490743.1651999997,376225.8454999998,533643.8605000004,407043.45519999973
758183.6552590079,469036.084499739,224,766,745482.0488,457244.2651000004,768113.8022999996,486771.7451000009
708245.7193165803,565421.1046632124,225,386,690662.8315000003,558426.9427000005,715666.2723000003,572255.5618999992
269063.94135838514,431632.47433267103,226,805,245768.89549999963,415780.8873999994,283350.46329999994,445960.60309999995
700000.0286843751,368519.0425901041,227,1536,676555.4685000004,357053.52449999936,720345.4031999996,385768.1831
577338.1684756557,460376.2878182584,228,2021,555622.8846000005,443761.1969000008,601636.1438999996,478746.8278999999
730176.3123494805,599698.024436175,229,481,718848.8103999998,589259.1386999991,749087.4726,619701.3994999994
252688.82041176473,367989.98123361345,230,714,237378.94120000023,348323.0611000005,262778.9919999996,384504.1503999997
662861.7580400362,211311.53540179,231,1676,649343.8865,192387.34109999985,677836.8375000004,232302.4154000003
298272.43796688796,559550.6227384234,232,1205,271293.30069999956,542248.0450999998,324749.0020000003,580940.4898000006
810305.2405671855,417243.4473984428,233,899,789830.0460999999,397558.2083999999,822385.3041000003,444066.63599999994
458600.9883496854,468102.5690772536,234,954,442225.4308000002,456075.3002000004,471424.27720000036,482815.59559999965
744849.1982685085,207130.54022375695,235,362,736858.9426999995,192967.01879999973,753799.3592999997,215603.60620000027
791814.6995078529,251838.0682276342,236,1006,770551.2752999999,231906.22089999914,809019.8059999999,268117.91190000065
726968.7353169641,395941.1331312499,237,896,721220.7185000004,382703.5722000003,736490.6009,419640.50840000063
560507.0563554434,315625.8325941531,238,496,552847.1871999996,299320.0518999994,574812.8823999995,327899.3252000008
365036.0526019319,451446.21775179385,239,1087,346367.6487999996,441112.70940000005,384568.2139999997,468065.8389999997
731265.7155722516,278197.21144816757,240,382,715776.1464,271444.31039999984,740148.8136,285271.0939000007
774944.8108408713,424764.96069813287,241,482,765092.6555000003,404706.6030000001,789830.0460999999,438585.5935999993
464300.76586395054,384716.1456088889,242,810,448241.70689999964,374314.2692000009,478087.6542999996,405522.39020000026
270913.01061255054,570078.8329716598,243,741,254751.7807,551001.9882999994,286062.3718999997,589260.6719000004
627365.4535712164,442812.3889987838,244,740,613769.9069999997,434028.4481000006,643117.7652000003,455038.3911000006
472340.6157953871,296218.80305584834,245,607,448084.40490000043,278800.8001000006,494798.20799999963,312691.2815000005
623444.7063697322,278472.8655762515,246,859,608722.3921999997,258054.51490000077,640737.2626,286196.8029999994
330823.97323244036,474233.65977827384,247,672,322550.2653000001,457873.27490000054,341171.34860000014,492657.8507000003
383327.3586289808,589897.5483229301,248,314,378051.01300000027,581029.5403000005,388297.1462000003,594877.6066999994
684470.7166131034,521585.44177758624,249,290,674653.1725000003,502972.8735000007,692925.6772999996,530908.4751999993
483219.678785054,339917.58851956856,250,649,474131.35950000025,329846.5678000003,492584.66810000036,348874.7776999995
623130.3153052529,373293.33438385214,251,514,612761.4299999997,353108.11950000003,628339.3896000003,395722.6579
445577.1149092179,283169.7987170391,252,716,437246.10390000045,271616.2898999993,452807.1479000002,299277.01129999943
797186.6186965359,624701.1844526893,253,1097,777907.9758000001,607617.7551000006,813233.3294000002,643002.0239000004
452654.94139392156,770891.6486386271,254,510,433348.52520000003,761393.5296999998,468816.0020000003,774666.5730000008
